SECCODE,TIME,OPEN,CLOSE,LOW,HIGH,VOLUME,CHANGE
SBERP,103447,53.92,53.91,53.91,53.92,1400,-0.019
SBERP,103448,53.92,53.92,53.92,53.94,900,0
SBERP,103451,53.91,53.91,53.91,53.91,100,0
SBERP,103512,53.91,53.91,53.91,53.91,900,0
SBERP,103520,53.92,53.92,53.92,53.92,300,0
SBERP,103521,53.91,53.91,53.91,53.91,100,0
SBERP,103525,53.92,53.92,53.92,53.92,300,0
SBERP,103526,53.91,53.92,53.91,53.92,900,0.019
SBERP,103527,53.92,53.92,53.92,53.92,600,0
SBERP,103528,53.91,53.91,53.91,53.91,1000,0
SBERP,103533,53.92,53.93,53.92,53.93,1800,0.019
SBERP,103534,53.92,53.92,53.92,53.92,1300,0
SBERP,103543,53.92,53.92,53.92,53.92,800,0
SBERP,103545,53.92,53.92,53.92,53.92,1600,0
SBERP,103546,53.92,53.92,53.92,53.92,300,0
SBERP,103549,53.92,53.92,53.92,53.92,300,0
SBERP,103550,53.92,53.92,53.92,53.92,300,0
SBERP,103551,53.92,53.93,53.92,53.93,7300,0.019
SBERP,103555,53.93,53.93,53.93,53.93,1200,0
SBERP,103610,53.95,53.95,53.95,53.95,100,0
SBERP,103633,53.95,53.95,53.95,53.95,4500,0
SBERP,103702,53.96,53.97,53.96,53.97,10000,0.019
SBERP,103707,53.94,53.93,53.93,53.94,600,-0.019
SBERP,103715,53.97,53.97,53.97,53.97,400,0
SBERP,103719,53.93,53.93,53.91,53.93,18900,0
SBERP,103730,53.95,53.95,53.95,53.95,200,0
SBERP,103739,53.92,53.92,53.92,53.92,500,0
SBERP,103753,53.93,53.93,53.93,53.93,200,0
SBERP,103806,53.93,53.93,53.93,53.93,100,0
SBERP,103807,53.94,53.94,53.94,53.94,1800,0
SBERP,103810,53.96,53.96,53.96,53.96,500,0
SBERP,103813,53.94,53.94,53.94,53.94,1900,0
SBERP,103830,53.97,53.97,53.97,53.97,5000,0
SBERP,103833,53.94,53.94,53.94,53.94,4400,0
SBERP,103856,53.92,53.92,53.92,53.92,700,0
SBERP,103858,53.94,53.94,53.94,53.94,200,0
SBERP,103908,53.91,53.94,53.91,53.94,5500,0.056
SBERP,103918,53.92,53.92,53.92,53.92,4500,0
SBERP,103921,53.92,53.92,53.92,53.92,1000,0
SBERP,103934,53.93,53.93,53.93,53.93,100,0
SBERP,104006,53.92,53.91,53.91,53.92,1200,-0.019
SBERP,104050,53.91,53.91,53.91,53.91,700,0
SBERP,104055,53.91,53.91,53.91,53.91,13300,0
SBERP,104059,53.92,53.92,53.92,53.92,100,0
SBERP,104112,53.91,53.91,53.91,53.91,52000,0
SBERP,104120,53.92,53.91,53.91,53.92,2200,-0.019
SBERP,104124,53.94,53.94,53.94,53.94,1800,0
SBERP,104132,53.94,53.94,53.94,53.94,100,0
SBERP,104146,53.93,53.93,53.93,53.93,1000,0
SBERP,104203,53.93,53.94,53.93,53.94,2200,0.019
SBERP,104204,53.97,53.97,53.97,53.97,12000,0
SBERP,104205,53.98,53.98,53.98,53.98,900,0
SBERP,104210,53.98,53.98,53.98,53.98,200,0
SBERP,104222,53.98,53.98,53.98,53.98,1100,0
SBERP,104224,53.98,53.98,53.98,53.98,600,0
SBERP,104227,53.98,53.98,53.98,53.98,100,0
SBERP,104240,53.98,53.98,53.98,53.98,14500,0
SBERP,104241,54,54,54,54,3100,0
SBERP,104245,54,54,54,54,11900,0
SBERP,104246,54,54,54,54,5000,0
SBERP,104255,54,54,54,54,1000,0
SBERP,104308,54,54,54,54,2300,0
